"""frequency""","""name"""
357,"""O-phospho-L-serine [MOD:00046]"""
255,"""O4'-phospho-L-tyrosine [MOD:00048]"""
213,"""O-phospho-L-threonine [MOD:00047]"""
194,"""ubiquitinylated lysine [MOD:01148]"""
169,"""phosphorylated residue [MOD:00696]"""
63,"""S-geranylgeranyl-L-cysteine [MOD:00113]"""
57,"""sumoylated lysine"""
55,"""N6-acetyl-L-lysine [MOD:00064]"""
44,"""O5-galactosyl-L-hydroxylysine"""
44,"""(2S,4R)-4-hydroxyproline"""
44,"""(2S,5R)-5-hydroxylysine"""
44,"""(2S,3S)-3-hydroxyproline"""
44,"""O5-glucosylgalactosyl-L-hydroxylysine"""
42,"""O-fucosyl-L-serine"""
39,"""half cystine [MOD:00798]"""
34,"""S-(glycyl)-L-cysteine (Cys-Gly)"""
27,"""N4-glycosyl-L-asparagine"""
26,"""L-serine amide"""
24,"""N6-pyridoxal phosphate-L-lysine [MOD:00128]"""
20,"""O-xylosyl-L-serine"""